state_code,state,city,latitude,longitude
IN.41,Ladakh,Thang,34.9274,76.79336
IN.12,Jammu and Kashmir,Pūnch,33.77033,74.09254
IN.25,Tamil Nadu,Kilakarai,9.23183,78.78545
IN.20,Nagaland,Zunheboto,25.96667,94.51667
IN.30,Arunachal Pradesh,Ziro,27.59497,93.83854
IN.36,Uttar Pradesh,Zamānia,25.41961,83.55786
IN.36,Uttar Pradesh,Zaidpur,26.83093,81.32929
IN.40,Telangana,Zahirābād,17.68138,77.60743
IN.36,Uttar Pradesh,Zafarābād,25.69867,82.73354
IN.11,Himachal Pradesh,Yol,32.16423,76.19622
IN.25,Tamil Nadu,Yercaud,11.77599,78.20927
IN.16,Maharashtra,Yeola,20.0424,74.48944
IN.40,Telangana,Yellāreddi,18.19433,78.01777
IN.19,Karnataka,Yellāpur,14.9637,74.70929
IN.40,Telangana,Yellandu,17.59064,80.32146
IN.19,Karnataka,Yelbarga,15.61545,76.01184
IN.19,Karnataka,Yelandūr,12.04629,77.03034
IN.19,Karnataka,Yelahanka,13.10073,77.59632
IN.12,Jammu and Kashmir,Yechagām,33.98734,74.75166
IN.16,Maharashtra,Yavatmāl,20.39324,78.13201
IN.16,Maharashtra,Yāval,21.16772,75.69762
IN.02,Andhra Pradesh,Yārāda,17.65872,83.27419
IN.02,Andhra Pradesh,Yanam,16.73308,82.21364
IN.10,Haryana,Yamuna Nagar,30.12796,77.28371
IN.17,Manipur,Yairipok,24.67792,94.04767
IN.19,Karnataka,Yadgir,16.77007,77.13755
IN.33,Goa,Xeldem,15.25,74.08333
IN.20,Nagaland,Wokha,26.09717,94.25817
IN.24,Rajasthan,Weir,27.0186,77.17636
IN.25,Tamil Nadu,Wellington,11.36552,76.78442
IN.36,Uttar Pradesh,Wazīrganj,28.21145,79.05665
IN.16,Maharashtra,Wāshīm,20.11128,77.133
IN.16,Maharashtra,Warud,21.47101,78.26965
IN.16,Maharashtra,Warora,20.22885,79.00277
IN.34,Bihar,Wāris Alīganj,25.0172,85.64047
IN.16,Maharashtra,Wardha,20.73933,78.59784
